,team_name,year,wins,losses,otLosses,pct,gf,ga,diff
61,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
62,New York Rangers,1990,36,31,N/A,0.45,297,265,32
63,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
64,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
65,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
66,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
67,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
68,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
69,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
70,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
71,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
72,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
73,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
74,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
75,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
76,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
77,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
78,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
79,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
80,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
81,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
82,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
83,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
84,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
85,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
86,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
87,New York Rangers,1990,36,31,N/A,0.45,297,265,32
88,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
89,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
90,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
91,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
92,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
93,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
94,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
95,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
96,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
97,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
98,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
99,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
100,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
101,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
102,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
103,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
104,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
105,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
106,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
107,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
108,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
109,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
110,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
111,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
112,New York Rangers,1990,36,31,N/A,0.45,297,265,32
113,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
114,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
115,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
116,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
117,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
118,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
119,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
120,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
121,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
122,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
123,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
124,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
125,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
126,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
127,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
128,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
129,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
130,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
131,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
132,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
133,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
134,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
135,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
136,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
137,New York Rangers,1990,36,31,N/A,0.45,297,265,32
138,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
139,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
140,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
141,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
142,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
143,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
144,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
145,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
146,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
147,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
148,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
149,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
150,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
151,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
152,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
153,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
154,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
155,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
156,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
157,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
158,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
159,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
160,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
161,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
162,New York Rangers,1990,36,31,N/A,0.45,297,265,32
163,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
164,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
165,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
166,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
167,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
168,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
169,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
170,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
171,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
172,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
173,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
174,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
175,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
176,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
177,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
178,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
